category,category_name,episode_id,title,priority,cooked_out_domain,source_title,video_id,start,end,duration_seconds,url
A,仕事の姿勢,A-01,遊びの仕事は遊びじゃない,P1_補助原則,制作判断・企画・ディレクション,A: 仕事の姿勢1 (まとめ動画) #01~#10,DilMfcXduL8,11,255,244,https://www.youtube.com/watch?v=DilMfcXduL8&t=11s
A,仕事の姿勢,A-02,プレゼンはスピード,P1_補助原則,制作判断・企画・ディレクション,A: 仕事の姿勢1 (まとめ動画) #01~#10,DilMfcXduL8,255,321,66,https://www.youtube.com/watch?v=DilMfcXduL8&t=255s
A,仕事の姿勢,A-03,お客さんに説明できるの？,P0_直接適用,制作判断・企画・ディレクション,A: 仕事の姿勢1 (まとめ動画) #01~#10,DilMfcXduL8,321,463,142,https://www.youtube.com/watch?v=DilMfcXduL8&t=321s
A,仕事の姿勢,A-04,仕様を変えること,P0_直接適用,制作判断・企画・ディレクション,A: 仕事の姿勢1 (まとめ動画) #01~#10,DilMfcXduL8,463,716,253,https://www.youtube.com/watch?v=DilMfcXduL8&t=463s
A,仕事の姿勢,A-05,企画書の書き方,P0_直接適用,制作判断・企画・ディレクション,A: 仕事の姿勢1 (まとめ動画) #01~#10,DilMfcXduL8,716,876,160,https://www.youtube.com/watch?v=DilMfcXduL8&t=716s
A,仕事の姿勢,A-06,企画は強火でザッと仕上げる,P0_直接適用,制作判断・企画・ディレクション,A: 仕事の姿勢1 (まとめ動画) #01~#10,DilMfcXduL8,876,1029,153,https://www.youtube.com/watch?v=DilMfcXduL8&t=876s
A,仕事の姿勢,A-07,苦労は忘れる､作品は残る,P1_補助原則,制作判断・企画・ディレクション,A: 仕事の姿勢1 (まとめ動画) #01~#10,DilMfcXduL8,1029,1235,206,https://www.youtube.com/watch?v=DilMfcXduL8&t=1029s
A,仕事の姿勢,A-08,ディレクターは”個”,P1_補助原則,制作判断・企画・ディレクション,A: 仕事の姿勢1 (まとめ動画) #01~#10,DilMfcXduL8,1235,1382,147,https://www.youtube.com/watch?v=DilMfcXduL8&t=1235s
A,仕事の姿勢,A-09,とにかくやれ!!,P1_補助原則,制作判断・企画・ディレクション,A: 仕事の姿勢1 (まとめ動画) #01~#10,DilMfcXduL8,1382,1499,117,https://www.youtube.com/watch?v=DilMfcXduL8&t=1382s
A,仕事の姿勢,A-10,なぜコラムを続けられたのか,P1_補助原則,制作判断・企画・ディレクション,A: 仕事の姿勢1 (まとめ動画) #01~#10,DilMfcXduL8,1499,1768,269,https://www.youtube.com/watch?v=DilMfcXduL8&t=1499s
A,仕事の姿勢,A-11,プランBに頼るな,P1_補助原則,制作判断・企画・ディレクション,A: 仕事の姿勢2 (まとめ動画) #11~#20,ubYmCCEWkAk,11,134,123,https://www.youtube.com/watch?v=ubYmCCEWkAk&t=11s
A,仕事の姿勢,A-12,価値観の幹と枝先,P1_補助原則,制作判断・企画・ディレクション,A: 仕事の姿勢2 (まとめ動画) #11~#20,ubYmCCEWkAk,134,378,244,https://www.youtube.com/watch?v=ubYmCCEWkAk&t=134s
A,仕事の姿勢,A-13,インプットを太く､アウトプットも太く,P1_補助原則,制作判断・企画・ディレクション,A: 仕事の姿勢2 (まとめ動画) #11~#20,ubYmCCEWkAk,378,516,138,https://www.youtube.com/watch?v=ubYmCCEWkAk&t=378s
A,仕事の姿勢,A-14,内圧をカンカンに高める,P1_補助原則,制作判断・企画・ディレクション,A: 仕事の姿勢2 (まとめ動画) #11~#20,ubYmCCEWkAk,516,677,161,https://www.youtube.com/watch?v=ubYmCCEWkAk&t=516s
A,仕事の姿勢,A-15,無意味な多数決,P0_直接適用,制作判断・企画・ディレクション,A: 仕事の姿勢2 (まとめ動画) #11~#20,ubYmCCEWkAk,677,832,155,https://www.youtube.com/watch?v=ubYmCCEWkAk&t=677s
A,仕事の姿勢,A-16,暗示の力,P1_補助原則,制作判断・企画・ディレクション,A: 仕事の姿勢2 (まとめ動画) #11~#20,ubYmCCEWkAk,832,981,149,https://www.youtube.com/watch?v=ubYmCCEWkAk&t=832s
A,仕事の姿勢,A-17,コンセプトは貫くもの,P0_直接適用,制作判断・企画・ディレクション,A: 仕事の姿勢2 (まとめ動画) #11~#20,ubYmCCEWkAk,981,1155,174,https://www.youtube.com/watch?v=ubYmCCEWkAk&t=981s
A,仕事の姿勢,A-18,競争と豊穣,P1_補助原則,制作判断・企画・ディレクション,A: 仕事の姿勢2 (まとめ動画) #11~#20,ubYmCCEWkAk,1155,1356,201,https://www.youtube.com/watch?v=ubYmCCEWkAk&t=1155s
A,仕事の姿勢,A-19,言ったことはそうなっていく,P1_補助原則,制作判断・企画・ディレクション,A: 仕事の姿勢2 (まとめ動画) #11~#20,ubYmCCEWkAk,1356,1520,164,https://www.youtube.com/watch?v=ubYmCCEWkAk&t=1356s
A,仕事の姿勢,A-20,エコーチェンバー,P1_補助原則,制作判断・企画・ディレクション,A: 仕事の姿勢2 (まとめ動画) #11~#20,ubYmCCEWkAk,1520,1713,193,https://www.youtube.com/watch?v=ubYmCCEWkAk&t=1520s
A,仕事の姿勢,A-21,アイデアが出ないとき,P0_直接適用,制作判断・企画・ディレクション,A: 仕事の姿勢3 (まとめ動画) #21~#23,sbrON900-0s,11,174,163,https://www.youtube.com/watch?v=sbrON900-0s&t=11s
A,仕事の姿勢,A-22,絶対にケンカするな,P1_補助原則,制作判断・企画・ディレクション,A: 仕事の姿勢3 (まとめ動画) #21~#23,sbrON900-0s,174,338,164,https://www.youtube.com/watch?v=sbrON900-0s&t=174s
A,仕事の姿勢,A-23,上は下なり､下は上なり,P1_補助原則,制作判断・企画・ディレクション,A: 仕事の姿勢3 (まとめ動画) #21~#23,sbrON900-0s,338,526,188,https://www.youtube.com/watch?v=sbrON900-0s&t=338s
B,ゲーム性,B-01,リスクとリターン,P0_直接適用,中核ゲーム性・難度・報酬,B: ゲーム性1 (まとめ動画) #01～#06,i7WJTzwEuFI,11,608,597,https://www.youtube.com/watch?v=i7WJTzwEuFI&t=11s
B,ゲーム性,B-02,ギュッとしてパッと解消,P0_直接適用,中核ゲーム性・難度・報酬,B: ゲーム性1 (まとめ動画) #01～#06,i7WJTzwEuFI,608,766,158,https://www.youtube.com/watch?v=i7WJTzwEuFI&t=608s
B,ゲーム性,B-03,RPGのゲーム性,P1_補助原則,中核ゲーム性・難度・報酬,B: ゲーム性1 (まとめ動画) #01～#06,i7WJTzwEuFI,766,920,154,https://www.youtube.com/watch?v=i7WJTzwEuFI&t=766s
B,ゲーム性,B-04,ゲーム性以外の面白さ,P1_補助原則,中核ゲーム性・難度・報酬,B: ゲーム性1 (まとめ動画) #01～#06,i7WJTzwEuFI,920,1326,406,https://www.youtube.com/watch?v=i7WJTzwEuFI&t=920s
B,ゲーム性,B-05,悪魔の釜,P0_直接適用,中核ゲーム性・難度・報酬,B: ゲーム性1 (まとめ動画) #01～#06,i7WJTzwEuFI,1326,1615,289,https://www.youtube.com/watch?v=i7WJTzwEuFI&t=1326s
B,ゲーム性,B-06,ズルを許す,P0_直接適用,中核ゲーム性・難度・報酬,B: ゲーム性1 (まとめ動画) #01～#06,i7WJTzwEuFI,1615,1789,174,https://www.youtube.com/watch?v=i7WJTzwEuFI&t=1615s
B,ゲーム性,B-07,浮遊感は落ちてこそ生まれる,P1_補助原則,中核ゲーム性・難度・報酬,B: ゲーム性2 (まとめ動画) #07～#15,bFS5BHu1n5A,11,161,150,https://www.youtube.com/watch?v=bFS5BHu1n5A&t=11s
B,ゲーム性,B-08,はたして敵は必要なのか,P1_補助原則,中核ゲーム性・難度・報酬,B: ゲーム性2 (まとめ動画) #07～#15,bFS5BHu1n5A,161,357,196,https://www.youtube.com/watch?v=bFS5BHu1n5A&t=161s
B,ゲーム性,B-09,ごほうび要素はまっ先に,P0_直接適用,中核ゲーム性・難度・報酬,B: ゲーム性2 (まとめ動画) #07～#15,bFS5BHu1n5A,357,517,160,https://www.youtube.com/watch?v=bFS5BHu1n5A&t=357s
B,ゲーム性,B-10,対戦は複雑になるもの？,P1_補助原則,中核ゲーム性・難度・報酬,B: ゲーム性2 (まとめ動画) #07～#15,bFS5BHu1n5A,517,756,239,https://www.youtube.com/watch?v=bFS5BHu1n5A&t=517s
B,ゲーム性,B-11,落ちものパズルのゲーム性,P1_補助原則,中核ゲーム性・難度・報酬,B: ゲーム性2 (まとめ動画) #07～#15,bFS5BHu1n5A,756,921,165,https://www.youtube.com/watch?v=bFS5BHu1n5A&t=756s
B,ゲーム性,B-12,やられるとスッキリする？,P1_補助原則,中核ゲーム性・難度・報酬,B: ゲーム性2 (まとめ動画) #07～#15,bFS5BHu1n5A,921,1065,144,https://www.youtube.com/watch?v=bFS5BHu1n5A&t=921s
B,ゲーム性,B-13,単調な坂は山登りにならない,P0_直接適用,中核ゲーム性・難度・報酬,B: ゲーム性2 (まとめ動画) #07～#15,bFS5BHu1n5A,1065,1221,156,https://www.youtube.com/watch?v=bFS5BHu1n5A&t=1065s
B,ゲーム性,B-14,リトライは迅速に,P0_直接適用,中核ゲーム性・難度・報酬,B: ゲーム性2 (まとめ動画) #07～#15,bFS5BHu1n5A,1221,1393,172,https://www.youtube.com/watch?v=bFS5BHu1n5A&t=1221s
B,ゲーム性,B-15,やり直しに見合う魅力はあるか？,P0_直接適用,中核ゲーム性・難度・報酬,B: ゲーム性2 (まとめ動画) #07～#15,bFS5BHu1n5A,1393,1661,268,https://www.youtube.com/watch?v=bFS5BHu1n5A&t=1393s
B,ゲーム性,B-16,シューティングゲームのゲーム性,P1_補助原則,中核ゲーム性・難度・報酬,B: ゲーム性3 (まとめ動画) #16～#23,upBaBUDj_Jc,11,168,157,https://www.youtube.com/watch?v=upBaBUDj_Jc&t=11s
B,ゲーム性,B-17,ゲーム性を上げると､一般性が下がる,P0_直接適用,中核ゲーム性・難度・報酬,B: ゲーム性3 (まとめ動画) #16～#23,upBaBUDj_Jc,168,406,238,https://www.youtube.com/watch?v=upBaBUDj_Jc&t=168s
B,ゲーム性,B-18,昇龍拳コマンド,P1_補助原則,中核ゲーム性・難度・報酬,B: ゲーム性3 (まとめ動画) #16～#23,upBaBUDj_Jc,406,699,293,https://www.youtube.com/watch?v=upBaBUDj_Jc&t=406s
B,ゲーム性,B-19,ランキングの功罪,P0_直接適用,中核ゲーム性・難度・報酬,B: ゲーム性3 (まとめ動画) #16～#23,upBaBUDj_Jc,699,892,193,https://www.youtube.com/watch?v=upBaBUDj_Jc&t=699s
B,ゲーム性,B-20,遊びって､何？,P1_補助原則,中核ゲーム性・難度・報酬,B: ゲーム性3 (まとめ動画) #16～#23,upBaBUDj_Jc,892,1119,227,https://www.youtube.com/watch?v=upBaBUDj_Jc&t=892s
B,ゲーム性,B-21,キャラゲームはらしさが第一,P0_直接適用,中核ゲーム性・難度・報酬,B: ゲーム性3 (まとめ動画) #16～#23,upBaBUDj_Jc,1119,1345,226,https://www.youtube.com/watch?v=upBaBUDj_Jc&t=1119s
B,ゲーム性,B-22,アクションゲームのゲーム性,P1_補助原則,中核ゲーム性・難度・報酬,B: ゲーム性3 (まとめ動画) #16～#23,upBaBUDj_Jc,1345,1521,176,https://www.youtube.com/watch?v=upBaBUDj_Jc&t=1345s
B,ゲーム性,B-23,作業ゲームを面白くするには,P0_直接適用,中核ゲーム性・難度・報酬,B: ゲーム性3 (まとめ動画) #16～#23,upBaBUDj_Jc,1521,1742,221,https://www.youtube.com/watch?v=upBaBUDj_Jc&t=1521s
B,ゲーム性,B-24,クリアできないよりマシ,P0_直接適用,中核ゲーム性・難度・報酬,B: ゲーム性4 (まとめ動画) #24～#29,K7Padiiam0o,11,176,165,https://www.youtube.com/watch?v=K7Padiiam0o&t=11s
B,ゲーム性,B-25,強制感と攻略バランス,P0_直接適用,中核ゲーム性・難度・報酬,B: ゲーム性4 (まとめ動画) #24～#29,K7Padiiam0o,176,302,126,https://www.youtube.com/watch?v=K7Padiiam0o&t=176s
B,ゲーム性,B-26,戦略シミュレーションのゲーム性,P1_補助原則,中核ゲーム性・難度・報酬,B: ゲーム性4 (まとめ動画) #24～#29,K7Padiiam0o,302,474,172,https://www.youtube.com/watch?v=K7Padiiam0o&t=302s
B,ゲーム性,B-27,どれぐらい良いことをした?,P0_直接適用,中核ゲーム性・難度・報酬,B: ゲーム性4 (まとめ動画) #24～#29,K7Padiiam0o,474,631,157,https://www.youtube.com/watch?v=K7Padiiam0o&t=474s
B,ゲーム性,B-28,長所を伸ばし､短所も伸ばす,P0_直接適用,中核ゲーム性・難度・報酬,B: ゲーム性4 (まとめ動画) #24～#29,K7Padiiam0o,631,800,169,https://www.youtube.com/watch?v=K7Padiiam0o&t=631s
B,ゲーム性,B-29,ハンデをつけてバランス調整,P0_直接適用,中核ゲーム性・難度・報酬,B: ゲーム性4 (まとめ動画) #24～#29,K7Padiiam0o,800,958,158,https://www.youtube.com/watch?v=K7Padiiam0o&t=800s
C,企画・ゲーム設計,C-01,フレームはコマ数,P0_直接適用,コンセプト・導線・長期設計,C: 企画・ゲーム設計1 (まとめ動画) #01～#09,hTNA84vJNEc,13,249,236,https://www.youtube.com/watch?v=hTNA84vJNEc&t=13s
C,企画・ゲーム設計,C-02,とにかくゲームさせてみて,P1_補助原則,コンセプト・導線・長期設計,C: 企画・ゲーム設計1 (まとめ動画) #01～#09,hTNA84vJNEc,249,410,161,https://www.youtube.com/watch?v=hTNA84vJNEc&t=249s
C,企画・ゲーム設計,C-03,目の前に吊られたごほうび,P0_直接適用,コンセプト・導線・長期設計,C: 企画・ゲーム設計1 (まとめ動画) #01～#09,hTNA84vJNEc,410,545,135,https://www.youtube.com/watch?v=hTNA84vJNEc&t=410s
C,企画・ゲーム設計,C-04,ゲーム作りで食っていくには,P1_補助原則,コンセプト・導線・長期設計,C: 企画・ゲーム設計1 (まとめ動画) #01～#09,hTNA84vJNEc,545,777,232,https://www.youtube.com/watch?v=hTNA84vJNEc&t=545s
C,企画・ゲーム設計,C-05,世界の窓はとっても狭い,P1_補助原則,コンセプト・導線・長期設計,C: 企画・ゲーム設計1 (まとめ動画) #01～#09,hTNA84vJNEc,777,965,188,https://www.youtube.com/watch?v=hTNA84vJNEc&t=777s
C,企画・ゲーム設計,C-06,ワンボタンでできること,P0_直接適用,コンセプト・導線・長期設計,C: 企画・ゲーム設計1 (まとめ動画) #01～#09,hTNA84vJNEc,965,1106,141,https://www.youtube.com/watch?v=hTNA84vJNEc&t=965s
C,企画・ゲーム設計,C-07,分解､考察､再構築,P1_補助原則,コンセプト・導線・長期設計,C: 企画・ゲーム設計1 (まとめ動画) #01～#09,hTNA84vJNEc,1106,1312,206,https://www.youtube.com/watch?v=hTNA84vJNEc&t=1106s
C,企画・ゲーム設計,C-08,良いおつかい、悪いおつかい,P1_補助原則,コンセプト・導線・長期設計,C: 企画・ゲーム設計1 (まとめ動画) #01～#09,hTNA84vJNEc,1312,1523,211,https://www.youtube.com/watch?v=hTNA84vJNEc&t=1312s
